SERVICIO,LOCALIDAD,H,M
USAER 1,PACHUCA DE SOTO,9,1
USAER 2,PACHUCA DE SOTO,3,1
USAER 3,PACHUCA DE SOTO,4,0
USAER 4,TULANCINGO DE BRAVO,9,3
USAER 5,ATOTONILCO DE TULA,3,1
USAER 6,"IXMIQUILPAN, HGO.",5,2
USAER 7,HUEJUTLA DE REYES,2,1
USAER 8,SAN FELIPE ORIZATLAN,4,0
USAER 9,FRANCISCO I. MADERO,3,0
USAER 10,"TEPEAPULCO, HGO.",10,1
USAER 11,"ACTOPAN, HGO.",3,0
USAER 12,PACHUCA DE SOTO,3,2
USAER 13,PACHUCA DE SOTO,4,1
USAER 14,TULANCINGO DE BRAVO,13,4
USAER 15,"TEPEAPULCO, HGO.",7,0
USAER 16,PACHUCA DE SOTO,3,1
USAER 17,TULA DE ALLENDE,7,0
USAER 18,HUEJUTLA DE REYES,10,2
USAER 19,"IXMIQUILPAN, HGO.",3,1
USAER 20,"TIZAYUCA, HGO.",12,0
USAER 21,TULANCINGO DE BRAVO,7,0
USAER 22,"ACTOPAN, HGO.",,
USAER 23,PACHUCA DE SOTO,8,0
USAER 24,PACHUCA DE SOTO,5,1
USAER 25,PACHUCA DE SOTO,8,4
USAER 26,JACALA DE LEDEZMA,9,2
USAER 27,TULA DE ALLENDE,16,2
USAER 28,TEPEJI DEL RIO DE OCAMPO,8,1
USAER 29,SAN AGUSTIN TLAXIACA,3,0
USAER 30,"IXMIQUILPAN, HGO.",2,0
USAER 31,"TIZAYUCA, HGO.",13,5
USAER 32,PROGRESO DE OBREGON,7,1
USAER 33,"ZIMAPAN, HGO.",6,2
USAER 34,"APAN, HGO.",4,2
USAER 35,TIANGUISTENGO,0,1
USAER 36,HUEJUTLA DE REYES,2,0
USAER 37,MIXQUIAHUALA DE JUAREZ,6,2
USAER 38,PACHUCA DE SOTO,6,1
USAER 39,PACHUCA DE SOTO,5,0
USAER 40,PACHUCA DE SOTO,5,0
USAER 41,"TOLCAYUCA, HGO.",2,0
USAER 42,MIXQUIAHUALA DE JUAREZ,4,0
USAER 43,PACHUCA DE SOTO,9,2
USAER 44,PACHUCA DE SOTO,7,5
USAER 45,"SAN SALVADOR, HGO.",,
USAER 46,"METEPEC, HGO.",2,0
USAER 47,"ACAXOCHITLAN, HGO.",3,1
USAER 48,"ACATLAN, HGO.",8,4
USAER 49,"EL ARENAL, HGO.",,
USAER 50,ATOTONILCO DE TULA,1,0
USAER 51,TULA DE ALLENDE,2,0
USAER 52,MINERAL DEL MONTE,4,1
USAER 53,"TIZAYUCA, HGO.",11,3
USAER 54,TULANCINGO DE BRAVO,2,0
USAER 55,SAN BARTOLO TUTOTEPEC,1,0
USAER 56,"TECOZAUTLA, HGO.",2,0
USAER 57,"ZIMAPAN, HGO.",3,2
USAER 58,"CARDONAL, HGO.",1,0
USAER 59,TEPEHUACAN DE GUERRERO,1,0
USAER 60,"PISAFLORES, HGO.",4,1
USAER 61,"HUEHUETLA, HGO.",1,0
USAER 62,"JALTOCAN, HGO.",4,0
USAER 63,"ZEMPOALA, HGO.",8,1
USAER 64,PACHUCA DE SOTO,2,0
USAER 65,PACHUCA DE SOTO,1,0
USAER 66,PACHUCA DE SOTO,2,0
USAER 67,FRANCISCO I. MADERO,4,1
USAER 68,"ACTOPAN, HGO.",3,0
,TOTALES,329,66
