LLAVE,MUNICIPIO,CLAVECCT,NOMBRE,TURNO,PERIODO,TIPO,NIVEL,SUBNIVEL,NIV,SEREDU,SOSADMI,SEXO,TOTAL_DIS,CEGUERA,BAJA VISIÓN,SORDERA,HIPOACUSIA,SORDOCEGUERA,DISCAPACIDAD MOTRIZ,DISCAPACIDAD INTELECTUAL,DISCAPACIDAD PSICOSOCIAL,TRANSTORNO DEL ESPECTRO AUTISTA,DISCAPACIDAD MÚLTIPLE,TRANSTORNO POR DÉFICIT DE ATENCIÓN E HIPERACTIVIDAD,APTITUDES SOBRESALIENTES,OTRAS CONDICIONES,USAER CORRESPONDE
13DDI0002M1,HUEJUTLA DE REYES,13DDI0002M,CAI SEP NUM. 2,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI  I.H.E.,Federal Transferido,TOTAL,2,0,0,0,0,1,0,0,0,0,0,0,0,1,
13DDI0004K1,IXMIQUILPAN,13DDI0004K,CAI SEP NUM. 4,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI  I.H.E.,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13NDI0005Q1,TEPEAPULCO,13NDI0005Q,GUARDERIA ORDINARIA G-0001 CIUDAD SAHAGUN,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI  I.M.S.S.,Federal,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13NDI0007O1,HUICHAPAN,13NDI0007O,ESTANCIA INFANTIL ISSSTE NUM. 77,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI  I.S.S.S.T.E.,Federal,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13PDI0028Z1,PACHUCA DE SOTO,13PDI0028Z,CLUB INFANTIL MI CASITA,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI Particular,Particular,TOTAL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
13PDI0034J1,TEPEJI DEL RIO DE OCAMPO,13PDI0034J,"ESTANCIA INFANTIL ARIDEY, S.C.",1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI Particular,Particular,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13PDI0039E1,PACHUCA DE SOTO,13PDI0039E,EL REY ARTURO,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI Particular,Particular,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13PDI0040U1,PACHUCA DE SOTO,13PDI0040U,PERSONAL ACADEMICO DE LA U.A.E.H. A.C.,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI Particular,Particular,TOTAL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
13PDI3010U1,PACHUCA DE SOTO,13PDI3010U,"COLEGIO REAL MOTOLINIA, S. C.",1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI Particular,Particular,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13PDI3017N1,PACHUCA DE SOTO,13PDI3017N,NANA-CHIPILLI,1,I2023,EDUCACION INICIAL,INICIAL,CENDI,0,CENDI Particular,Particular,TOTAL,4,0,0,0,0,0,0,0,0,2,1,0,0,1,
